iter	Passed	Remaining
0	135	135284
1	136	68242
2	138	45879
3	139	34742
4	141	28113
5	142	23573
6	143	20305
7	143	17841
8	144	15936
9	145	14450
10	146	13192
11	147	12143
12	148	11254
13	148	10489
14	149	9825
15	150	9237
16	150	8722
17	151	8266
18	153	7932
19	154	7587
20	155	7259
21	156	6955
22	157	6677
23	157	6422
24	158	6189
25	159	5971
26	160	5771
27	160	5582
28	161	5407
29	162	5241
30	162	5087
31	163	4943
32	164	4808
33	164	4680
34	165	4559
35	165	4445
36	168	4379
37	169	4286
38	170	4196
39	170	4103
40	171	4015
41	172	3932
42	173	3852
43	173	3779
44	174	3705
45	175	3635
46	175	3567
47	176	3502
48	177	3439
49	177	3379
50	178	3324
51	179	3270
52	180	3217
53	181	3178
54	182	3135
55	183	3089
56	183	3043
57	184	2999
58	185	2955
59	185	2913
60	186	2873
61	187	2836
62	188	2798
63	188	2761
64	189	2725
65	190	2689
66	190	2656
67	191	2623
68	192	2594
69	193	2564
70	193	2534
71	194	2507
72	195	2480
73	196	2455
74	197	2437
75	198	2414
76	199	2388
77	199	2363
78	200	2339
79	201	2315
80	202	2292
81	202	2270
82	203	2245
83	203	2223
84	204	2203
85	205	2184
86	206	2167
87	207	2154
88	208	2135
89	210	2129
90	211	2115
91	212	2099
92	213	2081
93	214	2063
94	214	2044
95	215	2027
96	215	2010
97	216	1994
98	217	1978
99	218	1962
100	218	1945
101	219	1930
102	219	1914
103	220	1900
104	221	1885
105	221	1870
106	222	1855
107	222	1840
108	223	1826
109	224	1812
110	224	1801
111	226	1792
112	227	1782
113	227	1770
114	228	1759
115	229	1747
116	229	1733
117	230	1722
118	231	1710
119	231	1700
120	232	1690
121	233	1679
122	233	1668
123	234	1657
124	235	1646
125	235	1636
126	236	1625
127	237	1615
128	237	1606
129	238	1596
130	239	1588
131	240	1580
132	241	1573
133	242	1567
134	243	1559
135	244	1554
136	245	1548
137	246	1540
138	247	1533
139	248	1525
140	248	1516
141	249	1506
142	250	1499
143	250	1490
144	251	1483
145	252	1476
146	253	1468
147	253	1461
148	254	1455
149	255	1450
150	256	1443
151	257	1439
152	258	1433
153	259	1426
154	260	1419
155	260	1411
156	261	1404
157	262	1397
158	262	1390
159	263	1382
160	263	1375
161	264	1368
162	265	1361
163	265	1354
164	266	1347
165	266	1340
166	267	1334
167	268	1328
168	268	1321
169	270	1320
170	271	1317
171	272	1312
172	273	1307
173	274	1301
174	274	1295
175	275	1289
176	276	1284
177	276	1279
178	277	1273
179	278	1267
180	278	1262
181	279	1256
182	280	1251
183	280	1245
184	281	1240
185	282	1236
186	283	1231
187	283	1225
188	284	1222
189	285	1217
190	286	1214
191	287	1209
192	288	1204
193	288	1200
194	289	1194
195	290	1190
196	290	1185
197	291	1180
198	292	1176
199	292	1171
200	293	1167
201	294	1163
202	295	1158
203	295	1153
204	296	1149
205	296	1144
206	297	1140
207	298	1135
208	299	1131
209	301	1133
210	302	1130
211	302	1126
212	303	1122
213	304	1119
214	305	1114
215	306	1111
216	306	1106
217	307	1102
218	308	1098
219	308	1094
220	309	1091
221	310	1087
222	310	1083
223	311	1079
224	312	1074
225	312	1070
226	313	1066
227	313	1062
228	314	1058
229	315	1056
230	316	1052
231	316	1049
232	318	1047
233	319	1044
234	319	1040
235	320	1036
236	321	1033
237	321	1029
238	322	1026
239	322	1022
240	323	1019
241	324	1015
242	324	1011
243	325	1008
244	326	1004
245	327	1003
246	328	1000
247	328	997
248	329	993
249	330	990
250	331	988
251	332	986
252	333	984
253	334	983
254	335	980
255	336	977
256	337	974
257	337	971
258	338	968
259	339	965
260	340	962
261	340	959
262	341	956
263	341	953
264	342	950
265	343	946
266	343	943
267	344	940
268	344	937
269	345	934
270	346	932
271	347	930
272	348	929
273	349	926
274	350	923
275	351	921
276	351	918
277	352	915
278	353	912
279	354	910
280	354	907
281	355	904
282	355	901
283	356	899
284	357	896
285	357	893
286	358	890
287	359	888
288	360	886
289	361	884
290	362	883
291	363	881
292	364	879
293	365	877
294	366	874
295	366	872
296	367	869
297	368	866
298	368	864
299	369	862
300	370	860
301	371	857
302	371	855
303	372	853
304	373	851
305	377	856
306	379	856
307	380	854
308	381	853
309	382	852
310	384	851
311	385	850
312	386	849
313	387	847
314	388	845
315	389	842
316	390	841
317	392	840
318	393	839
319	394	837
320	394	835
321	395	833
322	396	831
323	397	829
324	398	827
325	399	825
326	400	823
327	401	822
328	401	819
329	402	817
330	403	815
331	404	813
332	406	815
333	408	814
334	409	812
335	409	809
336	410	807
337	411	805
338	412	803
339	412	801
340	413	798
341	414	797
342	414	794
343	415	793
344	416	790
345	417	788
346	417	786
347	418	784
348	420	784
349	421	783
350	422	781
351	423	779
352	424	777
353	424	775
354	425	773
355	426	771
356	427	769
357	427	767
358	428	765
359	429	763
360	430	761
361	430	759
362	431	757
363	432	755
364	433	753
365	433	751
366	437	753
367	438	752
368	438	750
369	439	748
370	440	747
371	441	745
372	442	743
373	442	741
374	443	739
375	444	738
376	445	737
377	446	735
378	447	733
379	448	731
380	448	729
381	451	730
382	452	729
383	453	727
384	454	726
385	455	724
386	456	722
387	457	721
388	457	719
389	458	717
390	459	715
391	460	713
392	461	712
393	461	710
394	462	708
395	463	706
396	463	704
397	467	706
398	468	706
399	469	704
400	475	709
401	476	708
402	478	708
403	479	706
404	479	705
405	482	706
406	484	705
407	485	704
408	486	703
409	487	701
410	488	700
411	489	699
412	490	697
413	491	696
414	492	694
415	493	692
416	494	691
417	495	689
418	496	687
419	497	686
420	498	686
421	499	684
422	500	682
423	501	681
424	502	679
425	503	677
426	503	676
427	504	674
428	505	673
429	506	671
430	507	670
431	508	668
432	509	667
433	510	666
434	512	665
435	514	665
436	514	663
437	515	661
438	516	660
439	517	658
440	517	656
441	518	655
442	520	653
443	520	652
444	522	651
445	522	649
446	523	647
447	524	646
448	527	647
449	530	648
450	531	646
451	532	645
452	532	643
453	533	641
454	534	640
455	535	638
456	535	636
457	536	635
458	538	634
459	538	632
460	539	630
461	542	632
462	544	631
463	545	629
464	546	628
465	547	626
466	547	625
467	548	623
468	549	622
469	550	620
470	550	618
471	551	617
472	552	615
473	553	613
474	553	612
475	554	610
476	557	611
477	559	610
478	560	609
479	561	608
480	562	606
481	563	605
482	564	603
483	564	602
484	565	600
485	566	599
486	567	597
487	567	595
488	568	594
489	569	592
490	573	594
491	575	594
492	576	592
493	577	591
494	578	590
495	579	588
496	580	587
497	581	585
498	581	584
499	582	582
500	583	581
501	584	579
502	585	578
503	586	577
504	588	576
505	589	575
506	590	574
507	591	572
508	592	571
509	593	569
510	594	568
511	594	567
512	596	565
513	596	564
514	597	563
515	598	561
516	599	560
517	602	560
518	603	559
519	604	558
520	605	556
521	606	555
522	607	553
523	607	552
524	608	550
525	609	549
526	610	547
527	611	546
528	611	544
529	612	543
530	613	541
531	614	540
532	614	538
533	617	538
534	618	538
535	619	536
536	620	535
537	621	533
538	622	532
539	623	531
540	624	530
541	625	528
542	626	527
543	627	526
544	628	524
545	629	523
546	629	521
547	631	520
548	633	520
549	634	519
550	635	517
551	636	516
552	637	515
553	638	513
554	639	512
555	639	511
556	640	509
557	641	508
558	642	506
559	643	505
560	644	504
561	645	502
562	646	501
563	648	501
564	649	499
565	650	498
566	651	497
567	651	495
568	653	494
569	653	493
570	654	491
571	655	490
572	656	489
573	657	487
574	657	486
575	658	484
576	659	483
577	659	481
578	662	481
579	664	480
580	664	479
581	665	478
582	666	476
583	667	475
584	668	474
585	668	472
586	669	471
587	670	469
588	671	468
589	671	466
590	672	465
591	673	464
592	674	462
593	674	461
594	677	461
595	678	460
596	679	458
597	681	457
598	682	456
599	682	455
600	683	453
601	684	452
602	685	451
603	685	449
604	686	448
605	687	446
606	687	445
607	688	443
608	689	442
609	691	441
610	692	440
611	693	439
612	694	438
613	695	437
614	696	435
615	697	434
616	698	433
617	698	431
618	699	430
619	700	429
620	700	427
621	701	426
622	702	425
623	703	423
624	703	422
625	704	420
626	707	420
627	708	419
628	709	418
629	710	417
630	711	415
631	711	414
632	712	413
633	713	411
634	714	410
635	714	409
636	715	407
637	715	406
638	716	404
639	717	403
640	718	402
641	719	400
642	719	399
643	721	398
644	722	397
645	723	396
646	724	395
647	725	393
648	726	392
649	727	391
650	727	390
651	728	388
652	729	387
653	730	386
654	731	385
655	732	383
656	732	382
657	733	381
658	735	380
659	737	379
660	738	378
661	739	377
662	752	382
663	753	381
664	754	380
665	755	378
666	755	377
667	756	375
668	757	374
669	758	373
670	758	372
671	759	370
672	760	369
673	760	368
674	761	366
675	762	365
676	762	364
677	763	362
678	764	361
679	766	360
680	767	359
681	767	358
682	768	356
683	769	355
684	770	354
685	771	352
686	771	351
687	772	350
688	773	349
689	773	347
690	774	346
691	775	345
692	776	343
693	776	342
694	777	341
695	779	340
696	781	339
697	782	338
698	783	337
699	784	336
700	785	334
701	785	333
702	786	332
703	787	330
704	787	329
705	788	328
706	789	327
707	790	325
708	790	324
709	791	323
710	792	321
711	792	320
712	795	320
713	796	319
714	797	318
715	798	316
716	799	315
717	800	314
718	800	312
719	801	311
720	802	310
721	803	309
722	803	308
723	804	306
724	805	305
725	805	304
726	807	303
727	810	302
728	812	302
729	813	300
730	814	299
731	814	298
732	815	297
733	816	296
734	817	294
735	818	293
736	819	292
737	820	291
738	820	289
739	821	288
740	822	287
741	822	286
742	825	285
743	827	284
744	827	283
745	828	282
746	829	280
747	830	279
748	831	278
749	831	277
750	832	276
751	833	274
752	834	273
753	834	272
754	835	271
755	836	269
756	837	268
757	837	267
758	839	266
759	842	265
760	842	264
761	843	263
762	844	262
763	845	261
764	846	260
765	847	258
766	847	257
767	848	256
768	849	255
769	850	253
770	850	252
771	851	251
772	852	250
773	852	248
774	853	247
775	856	247
776	857	246
777	858	244
778	859	243
779	859	242
780	860	241
781	861	240
782	862	238
783	862	237
784	863	236
785	864	235
786	865	234
787	866	233
788	867	231
789	867	230
790	868	229
791	870	228
792	871	227
793	872	226
794	873	225
795	874	224
796	875	223
797	876	221
798	877	220
799	878	219
800	879	218
801	880	217
802	881	216
803	883	215
804	887	214
805	888	213
806	890	212
807	891	211
808	892	210
809	893	209
810	894	208
811	894	207
812	895	206
813	896	204
814	897	203
815	899	202
816	901	201
817	903	200
818	908	200
819	909	199
820	910	198
821	911	197
822	911	196
823	912	194
824	915	194
825	917	193
826	918	192
827	919	190
828	920	189
829	921	188
830	922	187
831	922	186
832	923	185
833	924	184
834	925	182
835	926	181
836	927	180
837	927	179
838	930	178
839	932	177
840	933	176
841	935	175
842	936	174
843	938	173
844	939	172
845	939	171
846	941	169
847	942	168
848	943	167
849	945	166
850	946	165
851	949	164
852	951	164
853	952	162
854	953	161
855	955	160
856	956	159
857	957	158
858	958	157
859	959	156
860	962	155
861	964	154
862	965	153
863	966	152
864	967	150
865	968	149
866	969	148
867	970	147
868	971	146
869	973	145
870	979	145
871	979	143
872	982	142
873	983	141
874	984	140
875	985	139
876	986	138
877	988	137
878	990	136
879	992	135
880	994	134
881	995	133
882	996	132
883	997	130
884	998	129
885	999	128
886	1000	127
887	1001	126
888	1002	125
889	1003	124
890	1004	122
891	1006	121
892	1008	120
893	1009	119
894	1011	118
895	1012	117
896	1013	116
897	1015	115
898	1016	114
899	1017	113
900	1018	111
901	1019	110
902	1021	109
903	1022	108
904	1023	107
905	1025	106
906	1026	105
907	1027	104
908	1028	103
909	1029	101
910	1030	100
911	1031	99
912	1033	98
913	1033	97
914	1035	96
915	1036	95
916	1037	93
917	1038	92
918	1038	91
919	1039	90
920	1040	89
921	1041	88
922	1041	86
923	1042	85
924	1043	84
925	1044	83
926	1045	82
927	1045	81
928	1046	79
929	1047	78
